ibge_code,municipio,regiao_intermediaria_nome,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
3302270,japeri,Rio de Janeiro,1.7322933437877381,1.2095852337620783,2.487461399498044
3302304,laje do muriae,Campos dos Goytacazes,1.6972414376357257,1.1477207397953766,2.5154649766095853
3301504,cordeiro,Petrópolis,1.6897105086975637,1.1835482815474736,2.418851905130105
3303955,pinheiral,Volta Redonda - Barra Mansa,1.6818495694021163,1.1891338238113263,2.3855025077481495
3305554,seropedica,Rio de Janeiro,1.6814040220475375,1.1733337458317419,2.4158422829908206
3304706,santo antonio de padua,Campos dos Goytacazes,1.6371808884080057,1.160844713539286,2.315669578838523
3300506,bom jardim,Petrópolis,1.6356147870552071,1.0937685423290002,2.451041780402314
3305604,silva jardim,Rio de Janeiro,1.6014246617284196,1.0091896734027561,2.545275106786891
3306107,valenca,Volta Redonda - Barra Mansa,1.596693019892002,1.0240311950902474,2.4939049480419437
3300308,barra do pirai,Volta Redonda - Barra Mansa,1.5921615238689006,1.1380629157190583,2.2342327320191715
3305406,sapucaia,Petrópolis,1.591892070195886,1.1277080795575622,2.2536223180718515
3300407,barra mansa,Volta Redonda - Barra Mansa,1.5895423936996804,1.1377902181268587,2.2274808995856543
3305208,sao pedro da aldeia,Macaé - Rio das Ostras - Cabo Frio,1.584016357121685,1.0793323513593378,2.3300776903366396
3301157,cardoso moreira,Campos dos Goytacazes,1.5803819977654132,1.0719054041436018,2.335339541651659
3301108,cantagalo,Petrópolis,1.560572506679117,1.0579312366034543,2.307226446166433
3300225,areal,Petrópolis,1.551178452904706,1.0302985652204366,2.3401538795201797
3300233,armacao dos buzios,Macaé - Rio das Ostras - Cabo Frio,1.5414407261656202,1.0176213354961139,2.3395142670968734
3305158,sao jose do vale do rio preto,Petrópolis,1.5281463623019824,0.9932821945987921,2.355345998053489
3300605,bom jesus do itabapoana,Campos dos Goytacazes,1.4913201250340997,1.0527680309826117,2.1185268820772896
3304128,quatis,Volta Redonda - Barra Mansa,1.4688189293728489,1.041928022673022,2.076631892269269
3301207,carmo,Petrópolis,1.4666299466843007,1.02694809853642,2.1002016841685083
3306206,vassouras,Volta Redonda - Barra Mansa,1.4292704013014452,1.0155404918582704,2.01745925300018
3303104,natividade,Campos dos Goytacazes,1.4187400813334543,1.0077623676770977,2.003173225736919
3300100,angra dos reis,Rio de Janeiro,1.3978749996720758,1.0067685086671043,1.9471138555022955
3303807,paraty,Rio de Janeiro,1.3913933297940266,1.0023197333368585,1.9376698060586564
3305109,sao joao de meriti,Rio de Janeiro,1.3909171532972504,0.9795919369177307,1.9804574672178668
3305802,teresopolis,Petrópolis,1.3850624253471502,0.9755299890731401,1.9719990906215636
3301850,guapimirim,Rio de Janeiro,1.3582087380455916,0.9565177493181413,1.9339619248688273
3300803,cachoeiras de macacu,Rio de Janeiro,1.3580975980002945,0.9570683094911391,1.9325537753091133
3303203,nilopolis,Rio de Janeiro,1.340987179863235,0.8781581878731323,2.0516452796645455
3306305,volta redonda,Volta Redonda - Barra Mansa,1.3380926897976075,0.9619429958805346,1.8672022820145249
3300704,cabo frio,Macaé - Rio das Ostras - Cabo Frio,1.3345852680771921,0.9204201220595182,1.9399030342923562
3302601,mangaratiba,Rio de Janeiro,1.3280037217014369,0.9438386125724582,1.8740281252688973
3304102,porciuncula,Campos dos Goytacazes,1.3212616564515878,0.9409214798251687,1.8608656800414791
3300258,arraial do cabo,Macaé - Rio das Ostras - Cabo Frio,1.3081989729562489,0.8937269312238613,1.9193890723716165
3304409,rio claro,Volta Redonda - Barra Mansa,1.2896842388076142,0.8555418281345656,1.9480680787230058
3305901,trajano de moraes,Petrópolis,1.286429615219868,0.8165329700913452,2.030087978958288
3302007,itaguai,Rio de Janeiro,1.280260227563128,0.9036073057656916,1.8190320546488385
3302858,mesquita,Rio de Janeiro,1.2766983727359582,0.6846178103816484,2.382931675124521
3302502,mage,Rio de Janeiro,1.2567358334037753,0.8906389250133148,1.778442855241364
