municipio,ibge_code,date,year,week,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975,municipio_norm,regiao_intermediaria_nome,municipality_order
niteroi,3303302,2022-01-17,2022,3,-0.192786589414727,0.21676154255246,-0.617639212817549,0.232066033988095,0.824657946096228,0.539215910175378,1.2612030083431,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-01-24,2022,4,-0.399395831049748,0.180980854916076,-0.754118306685257,-0.0446733554142401,0.670725154958979,0.470425202690263,0.956309804240976,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-01-31,2022,5,-0.441319174794492,0.169542738991209,-0.773622943217261,-0.109015406371723,0.643187384606599,0.461338633278921,0.89671660224251,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-02-07,2022,6,-0.327133211868766,0.16287012871196,-0.646358664144208,-0.0079077595933244,0.720987692511338,0.523950185958784,0.992123424484699,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-02-14,2022,7,-0.236740879375734,0.161903942664113,-0.554072606997394,0.0805908482459273,0.789195758422807,0.574604898738449,1.08392731506463,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-02-21,2022,8,-0.180997807878606,0.161441356573602,-0.497422866762865,0.135427251005653,0.834437187881396,0.608095785938281,1.14502589332214,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-02-28,2022,9,-0.0170721338307455,0.149079368231888,-0.309267695565245,0.275123427903754,0.983072769272493,0.733984259393725,1.31669318151777,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-03-07,2022,10,0.0278122559187288,0.138665870223923,-0.24397284972016,0.299597361557617,1.0282026273417,0.783508906460156,1.34931541193161,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-03-14,2022,11,-0.0104468102085341,0.135864152872342,-0.276740549838325,0.255846929421257,0.989607568188233,0.758251199988536,1.29155501373454,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-03-21,2022,12,0.140092241214777,0.166534228336633,-0.186314846325025,0.466499328754578,1.15037990640343,0.830012227539236,1.59440293184621,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-03-28,2022,13,0.175547965321071,0.136102862871146,-0.0912136459063749,0.442309576548517,1.19189915710595,0.912822669238552,1.55629745906171,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-04-04,2022,14,0.10305225988687,0.13491157233154,-0.161374421882949,0.36747894165669,1.10854934022537,0.850973388391562,1.44408938807925,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-04-11,2022,15,0.123474706082455,0.134392817478565,-0.139935216175533,0.386884628340443,1.1314213861009,0.86941455757449,1.47238660978689,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-04-18,2022,16,0.144850647762555,0.133580811332884,-0.116967742449898,0.406669037975009,1.15586692606435,0.889613889465183,1.501806982322,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-04-25,2022,17,0.307659245905785,0.158561086390061,-0.0031204834187357,0.618438975230305,1.36023740349297,0.996884380229355,1.85602847286624,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-05-02,2022,18,0.473446492403332,0.147651598912454,0.184049358534922,0.762843626271742,1.60551807458939,1.20207515430052,2.14436533240982,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-05-09,2022,19,0.451829722597651,0.14640196395802,0.164881873239932,0.73877757195537,1.57118438860228,1.17925380905169,2.09337494951379,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-05-16,2022,20,0.225125697216307,0.168850115198141,-0.105820528572049,0.556071923004662,1.25248013956484,0.899586083587946,1.74380921250768,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-05-23,2022,21,0.130127361313166,0.142759429884067,-0.149681121259606,0.409935843885938,1.1389734352398,0.860982481665044,1.50672111664013,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-05-30,2022,22,0.0557815788167081,0.153249219833114,-0.244586892056195,0.356150049689612,1.05736670722508,0.783027946500929,1.42782177640538,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-06-06,2022,23,-0.132318413184416,0.158196547028616,-0.442383645360503,0.177746818991671,0.876062000972554,0.64250309483503,1.19452285244649,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-06-13,2022,24,-0.145885885681079,0.148225807085853,-0.436408467569352,0.144636696207193,0.86425632157916,0.646353657499994,1.1556196529909,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-06-20,2022,25,-0.159509710306729,0.184906868113004,-0.521927171808217,0.202907751194758,0.852561688720726,0.593375908043904,1.2249594619884,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-06-27,2022,26,-0.0611106289010375,0.20184439580527,-0.456725644679366,0.334504386877291,0.940719163291962,0.633354080290165,1.39724771928413,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-07-04,2022,27,0.0449515404891179,0.204879240025108,-0.356611769960093,0.446514850938329,1.04597717113844,0.70004422318191,1.5628558972602,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-07-11,2022,28,0.121084490565418,0.204989091665496,-0.280694129098954,0.52286311022979,1.12872027455288,0.755259312000194,1.68685038098067,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-07-18,2022,29,0.283771101922852,0.203278263098422,-0.114654293750055,0.682196497595758,1.32812888980785,0.891674348024745,1.97821811499872,niteroi,Rio de Janeiro,64
niteroi,3303302,2022-07-25,2022,30,0.326389183190983,0.192510245311841,-0.0509308976202254,0.703709264002191,1.38595465418046,0.950344339318918,2.02123611829067,niteroi,Rio de Janeiro,64
