model,model_label,date,observed_cases,predicted_cases,population,observed_incidence_per_100k,predicted_incidence_per_100k
S11,S11 rainfall space-time,2023-07-17,1230,2185.258324454179,17098585,7.1935777141792725,12.780346002047414
S11,S11 rainfall space-time,2023-07-24,1069,1563.306439446515,17098585,6.251979330453368,9.142899482305202
S11,S11 rainfall space-time,2023-07-31,1138,1192.2396537211264,17098585,6.655521494907327,6.972738701600901
S11,S11 rainfall space-time,2023-08-07,1026,1150.6375965362702,17098585,6.000496532315394,6.729431684178955
S11,S11 rainfall space-time,2023-08-14,1030,1137.6364910484524,17098585,6.0238902809793915,6.653395535644923
S11,S11 rainfall space-time,2023-08-21,994,1098.901050760939,17098585,5.813346543003412,6.426853747026078
S11,S11 rainfall space-time,2023-08-28,874,1163.9048602358496,17195818,5.082631137407945,6.768534420612323
S11,S11 rainfall space-time,2023-09-04,872,1090.610673407721,17195818,5.071000402539734,6.342301793422801
S11,S11 rainfall space-time,2023-09-11,1123,1310.8170524831974,17098585,6.567794937417337,7.6662311675685295
S11,S11 rainfall space-time,2023-09-18,1126,1216.295582237637,17098585,6.585340248915334,7.113428287999487
S11,S11 rainfall space-time,2023-09-25,968,1149.3492380661014,17098585,5.661287176687428,6.7218968006188895
S11,S11 rainfall space-time,2023-10-02,1060,1262.6659968629713,17195818,6.164289480151512,7.342866718308901
S11,S11 rainfall space-time,2023-10-09,923,1357.5103011239835,17195818,5.367584141679099,7.894421196618755
S11,S11 rainfall space-time,2023-10-16,1156,1819.0225002224024,17195818,6.722564753825611,10.578284209697976
S11,S11 rainfall space-time,2023-10-23,1132,1574.5498065650181,17195818,6.5829959354070855,9.156585668474847
S11,S11 rainfall space-time,2023-10-30,1152,1713.674282304009,17195818,6.69930328408919,9.965645613974333
S11,S11 rainfall space-time,2023-11-06,1476,1762.385953409539,17195818,8.583482332739274,10.248921879782277
S11,S11 rainfall space-time,2023-11-13,1296,2004.5373961465377,17195818,7.536716194600339,11.657121493996609
S11,S11 rainfall space-time,2023-11-20,1874,2484.799822642143,17195818,10.897998571513144,14.450023968863494
S11,S11 rainfall space-time,2023-11-27,2084,2346.1126633130857,17195818,12.119225732675236,13.643507178972733
S11,S11 rainfall space-time,2023-12-04,2299,3552.772313868033,17195818,13.369529731007852,20.660676414858738
S11,S11 rainfall space-time,2023-12-11,2627,2923.0322560637105,17195818,15.276970249394358,16.998506590751955
S11,S11 rainfall space-time,2023-12-18,1948,2511.121200558643,17195818,11.328335761636927,14.603092452819883
S11,S11 rainfall space-time,2023-12-25,2487,2657.2193489735087,17195818,14.46281880861963,15.452706867294763
S6,S6 rainfall-region,2017-03-27,506,704.0372421831896,17195818,2.9425759216572307,4.094235250589357
S6,S6 rainfall-region,2017-04-03,486,648.1230404311053,17195818,2.826268572975127,3.7690736226162973
S6,S6 rainfall-region,2017-04-10,367,551.3840053391582,16553311,2.2170791088260224,3.3309590168345062
S6,S6 rainfall-region,2017-04-17,420,535.6471206578377,16553311,2.5372567457954482,3.235891119654779
S6,S6 rainfall-region,2017-04-24,414,445.73345026013703,16553311,2.5010102208555134,2.6927147702362206
S6,S6 rainfall-region,2017-05-01,399,510.9340776831735,16553311,2.410393908505676,3.0865974649009704
S6,S6 rainfall-region,2017-05-08,335,417.78594572740667,16553311,2.0237643091463697,2.523881450227128
S6,S6 rainfall-region,2017-05-15,357,380.08076631489047,16553311,2.156668233926131,2.296101162570379
S6,S6 rainfall-region,2017-05-22,258,292.93425414084703,16553311,1.558600572417204,1.7696414580795772
S6,S6 rainfall-region,2017-05-29,333,244.28545405088056,16553311,2.0116821341663913,1.4757498004530971
S6,S6 rainfall-region,2017-06-05,371,184.37745340605053,16553311,2.2412434587859793,1.1138403272073516
S6,S6 rainfall-region,2017-06-12,220,165.32257700722323,16553311,1.3290392477976158,0.9987281517711062
S6,S6 rainfall-region,2017-06-19,250,130.30984558195993,16553311,1.5102718724972908,0.7872131779675978
S6,S6 rainfall-region,2017-06-26,191,133.57673205613287,16553311,1.1538477105879301,0.8069487249779387
S6,S6 rainfall-region,2017-07-03,212,187.5285804719357,16553311,1.2807105478777026,1.1328765615044367
S6,S6 rainfall-region,2017-07-10,189,111.51489888062846,16553311,1.141765535607952,0.6736712605751711
S6,S6 rainfall-region,2017-07-17,161,111.20799527236514,16553311,0.9726150858882552,0.6718172290266591
S6,S6 rainfall-region,2017-07-24,147,90.04615201609766,16553311,0.8880398610284069,0.5439766824661101
S6,S6 rainfall-region,2017-07-31,177,81.37646288933637,16553311,1.0692724857280818,0.49160233194033726
S6,S6 rainfall-region,2017-08-07,107,78.52531746664442,16553311,0.6463963614288404,0.4743783129951732
S6,S6 rainfall-region,2017-08-14,127,76.12328584537075,16456078,0.7717513249511823,0.46258461977009796
S6,S6 rainfall-region,2017-08-21,125,76.25063236445453,16456078,0.7595977607787227,0.4633584768160101
S6,S6 rainfall-region,2017-08-28,115,80.66358400011529,16182090,0.7106622197750724,0.498474449222043
S6,S6 rainfall-region,2017-09-04,109,70.13179220499649,17061502,0.6388652065920105,0.4110528616120461
S6,S6 rainfall-region,2017-09-11,121,77.86179997293449,16984702,0.712405787278458,0.4584231149474068
S6,S6 rainfall-region,2017-09-18,153,80.07597109074788,17098585,0.8948108863979095,0.4683192854306241
S6,S6 rainfall-region,2017-09-25,123,84.1012827158659,17098585,0.7193577714179273,0.4918610675436938
S6,S6 rainfall-region,2017-10-02,162,85.31766650672174,17098585,0.9474468208919041,0.49897501171425435
S6,S6 rainfall-region,2017-10-09,152,83.53345698659145,17195818,0.8839358499839902,0.4857777454180513
S6,S6 rainfall-region,2017-10-16,166,114.9052357435045,17098585,0.9708405695559018,0.6720160512902354
S6,S6 rainfall-region,2017-10-23,143,95.35443489517037,17098585,0.8363265147379155,0.5576744209837854
S6,S6 rainfall-region,2017-10-30,147,117.33710191644909,17098585,0.8597202634019132,0.6862386677988213
S6,S6 rainfall-region,2017-11-06,194,122.00037455977483,17098585,1.1345968102038853,0.7135115248412358
S6,S6 rainfall-region,2017-11-13,200,120.43452288502141,17098585,1.1696874331998819,0.7043537397101656
S6,S6 rainfall-region,2017-11-20,183,141.09436251052043,17195818,1.0642122404412515,0.820515560879514
S6,S6 rainfall-region,2017-11-27,203,136.99514457601708,17195818,1.1805195891233553,0.7966771023979032
S6,S6 rainfall-region,2018-02-05,491,559.2438911394568,14680781,3.344508715169854,3.8093606269275235
