municipio,year,week,date,cases,predicted_cases,municipio_norm,population,model,model_label,observed_incidence_per_100k,predicted_incidence_per_100k
angra dos reis,2019,47,2019-11-18,0,4.40350200792685,angra dos reis,207044,S6,S6 rainfall-region,0.0,2.1268435733113975
angra dos reis,2019,48,2019-11-25,0,1.66802894714744,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.8056398384630513
angra dos reis,2019,49,2019-12-02,0,3.14063468599254,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.5168923929177083
angra dos reis,2019,50,2019-12-09,0,2.10758873863819,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.0179424366985714
angra dos reis,2019,51,2019-12-16,1,1.41646702388936,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.6841381657470683
angra dos reis,2019,52,2019-12-23,3,1.94335632643615,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,0.9386199679469822
angra dos reis,2020,1,2019-12-30,5,1.19049488745218,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,0.5749960817276424
angra dos reis,2020,2,2020-01-06,5,1.60436724074769,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,0.7748919267149447
angra dos reis,2020,3,2020-01-13,8,2.71549504497669,angra dos reis,207044,S6,S6 rainfall-region,3.8639129846795854,1.3115545705148133
angra dos reis,2020,4,2020-01-20,6,5.72735590840946,angra dos reis,207044,S6,S6 rainfall-region,2.8979347385096887,2.7662506077980815
angra dos reis,2020,5,2020-01-27,11,6.72937863500771,angra dos reis,207044,S6,S6 rainfall-region,5.312880353934429,3.250216685828959
angra dos reis,2020,6,2020-02-03,11,7.34746486309019,angra dos reis,207044,S6,S6 rainfall-region,5.312880353934429,3.548745611121399
angra dos reis,2020,7,2020-02-10,7,9.38733192936839,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,4.533979216672972
angra dos reis,2020,8,2020-02-17,11,7.34743734761117,angra dos reis,207044,S6,S6 rainfall-region,5.312880353934429,3.5487323214443167
angra dos reis,2020,9,2020-02-24,10,12.0658424288261,angra dos reis,207044,S6,S6 rainfall-region,4.829891230849482,5.827670653979879
angra dos reis,2020,10,2020-03-02,6,12.174402280969,angra dos reis,207044,S6,S6 rainfall-region,2.8979347385096887,5.880103881768609
angra dos reis,2020,11,2020-03-09,7,10.4742213301649,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,5.058934975254004
angra dos reis,2020,12,2020-03-16,7,15.7998102078448,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,7.631136477195572
angra dos reis,2020,13,2020-03-23,4,14.3527277138478,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,6.932211372388381
angra dos reis,2020,14,2020-03-30,5,10.4517470984526,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,5.0480801657872725
angra dos reis,2020,15,2020-04-06,1,9.16645351847892,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,4.4272973466890715
angra dos reis,2020,16,2020-04-13,3,9.11906576533239,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,4.404409577351863
angra dos reis,2020,17,2020-04-20,7,6.12265519980776,angra dos reis,207044,S6,S6 rainfall-region,3.3809238615946366,2.9571758659066476
angra dos reis,2020,18,2020-04-27,9,6.79570380415434,angra dos reis,207044,S6,S6 rainfall-region,4.346902107764533,3.2822510211135505
angra dos reis,2020,19,2020-05-04,6,2.58863944127416,angra dos reis,207044,S6,S6 rainfall-region,2.8979347385096887,1.2502846937241165
angra dos reis,2020,20,2020-05-11,5,4.17242756661124,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,2.0152371315330266
angra dos reis,2020,21,2020-05-18,3,5.2966623589689,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,2.558230308035442
angra dos reis,2020,22,2020-05-25,1,5.57666585279593,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,2.6934689499796804
angra dos reis,2020,23,2020-06-01,1,4.1558562962102,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,2.007233388173625
angra dos reis,2020,24,2020-06-08,4,3.13821455272622,angra dos reis,207044,S6,S6 rainfall-region,1.9319564923397927,1.5157234948736598
angra dos reis,2020,25,2020-06-15,3,2.75226003044395,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,1.3293116586058762
angra dos reis,2020,26,2020-06-22,1,1.12831584276733,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.544964279461047
angra dos reis,2020,27,2020-06-29,1,1.34784972745089,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.6509967579117917
angra dos reis,2020,28,2020-07-06,3,2.53459110256198,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,1.2241799340053225
angra dos reis,2020,29,2020-07-13,5,2.23048251188538,angra dos reis,207044,S6,S6 rainfall-region,2.414945615424741,1.077298792471832
angra dos reis,2020,30,2020-07-20,2,1.30395766858883,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.6297973708916125
angra dos reis,2020,31,2020-07-27,1,0.948843792987319,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.45828123151954125
angra dos reis,2020,32,2020-08-03,1,1.75972662034391,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.8499288172291445
angra dos reis,2020,33,2020-08-10,0,2.68786386115231,angra dos reis,207044,S6,S6 rainfall-region,0.0,1.298209009269677
angra dos reis,2020,34,2020-08-17,0,1.59319000580992,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.7694934438138368
angra dos reis,2020,35,2020-08-24,2,1.03006659230549,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.49751096013672935
angra dos reis,2020,36,2020-08-31,2,1.11178918907439,angra dos reis,207044,S6,S6 rainfall-region,0.9659782461698964,0.5369820854863653
angra dos reis,2020,37,2020-09-07,0,0.673681021263781,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.32538060569916594
angra dos reis,2020,38,2020-09-14,3,0.656375594366406,angra dos reis,207044,S6,S6 rainfall-region,1.4489673692548444,0.3170222727373921
angra dos reis,2020,39,2020-09-21,1,1.60498691278457,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.7751912215686376
angra dos reis,2020,40,2020-09-28,1,1.84302778902383,angra dos reis,207044,S6,S6 rainfall-region,0.4829891230849482,0.8901623756418103
angra dos reis,2020,41,2020-10-05,0,0.700610280077298,angra dos reis,207044,S6,S6 rainfall-region,0.0,0.3383871447988341
