date,year,week,total_cases,municipalities,state_population,incidence_per_100k,rolling_4wk_incidence_per_100k
2017-08-21,2017,34,132,92,17195818.0,0.7676285013018863,0.7618131338677812
2017-08-28,2017,35,132,92,17195818.0,0.7676285013018863,0.7400055059898866
2017-09-04,2017,36,109,92,17195818.0,0.6338750503174667,0.732736296697255
2017-09-11,2017,37,131,92,17195818.0,0.761813133867781,0.7632669757263073
2017-09-18,2017,38,153,92,17195818.0,0.8897512174180955,0.7501823989995706
2017-09-25,2017,39,123,92,17195818.0,0.7152901943949395,0.8301437012185172
2017-10-02,2017,40,164,92,17195818.0,0.9537202591932528,0.8606743802475694
2017-10-09,2017,41,152,92,17195818.0,0.8839358499839902,0.8810281662669377
2017-10-16,2017,42,167,92,17195818.0,0.9711663614955683,0.9101050034374637
2017-10-23,2017,43,143,92,17195818.0,0.8315975430770435,0.8853896918425166
2017-10-30,2017,44,147,92,17195818.0,0.8548590128134642,0.9479048917591475
2017-11-06,2017,45,195,92,17195818.0,1.1339966496505138,0.9958816730905153
2017-11-13,2017,46,200,92,17195818.0,1.16307348682104,1.0540353474315673
2017-11-20,2017,47,183,92,17195818.0,1.0642122404412515,1.1354504915090402
2017-11-27,2017,48,203,92,17195818.0,1.1805195891233553,1.2255886867376709
2017-12-04,2017,49,257,92,17195818.0,1.4945494305650362,1.3564344540050377
2017-12-11,2017,50,290,92,17195818.0,1.6864565558905076,1.4247650213557737
2017-12-18,2017,51,230,92,17195818.0,1.3375345098441958,1.4523880166677734
2017-12-25,2017,52,222,92,17195818.0,1.2910115703713543,1.6719181373052447
2018-01-01,2018,1,408,92,17195818.0,2.372669913114921,1.8652791044892425
2018-01-08,2018,2,423,92,17195818.0,2.4599004246264995,2.5136925733919724
2018-01-15,2018,3,676,92,17195818.0,3.931188385455115,3.045798693612598
2018-01-22,2018,4,588,92,17195818.0,3.419436051253857,3.2958594932791216
2018-01-29,2018,5,580,92,17195818.0,3.372913111781015,3.468866674443751
2018-02-05,2018,6,542,92,17195818.0,3.151929149285018,3.356920851337226
2018-02-12,2018,7,599,92,17195818.0,3.483405093029014,3.6942121625153277
2018-02-19,2018,8,820,92,17195818.0,4.768601295966263,4.070757203873639
2018-02-26,2018,9,839,92,17195818.0,4.8790932772142614,4.829662654024368
2018-03-05,2018,10,1064,92,17195818.0,6.187550949887933,5.607468048335939
2018-03-12,2018,11,1134,92,17195818.0,6.5946266702752965,5.994189982703934
2018-03-19,2018,12,1086,92,17195818.0,6.315489033438245,6.282050670692141
2018-03-26,2018,13,1037,92,17195818.0,6.0305360291670915,6.6833110236454
2018-04-02,2018,14,1340,92,17195818.0,7.792592361700967,6.927556455877818
2018-04-09,2018,15,1302,92,17195818.0,7.571608399204969,6.841779786224767
2018-04-16,2018,16,1027,92,17195818.0,5.97238235482604,6.552465256378033
2018-04-23,2018,17,838,92,17195818.0,4.873277909780158,6.082874336074038
2018-04-30,2018,18,1017,92,17195818.0,5.914228680484988,5.411199397434888
2018-05-07,2018,19,840,92,17195818.0,4.884908644648367,5.039015881652156
2018-05-14,2018,20,771,92,17195818.0,4.483648291695109,4.605771007811318
2018-05-21,2018,21,540,92,17195818.0,3.1402984144168076,3.7625427298660634
2018-05-28,2018,22,437,92,17195818.0,2.5413155687039723,3.128667679548597
2018-06-04,2018,23,404,92,17195818.0,2.3494084433785005,2.6052846104791296
2018-06-11,2018,24,411,92,17195818.0,2.3901160154172367,2.3028855039056593
2018-06-18,2018,25,332,92,17195818.0,1.9307019881229261,2.172039736638292
2018-06-25,2018,26,347,92,17195818.0,2.0179324996345045,2.225831885403765
2018-07-02,2018,27,441,92,17195818.0,2.564577038440393,2.118247587872819
2018-07-09,2018,28,337,92,17195818.0,1.9597788252934523,2.118247587872819
2018-07-16,2018,29,332,92,17195818.0,1.9307019881229261,2.0281093926441884
2018-07-23,2018,30,285,92,17195818.0,1.6573797187199817,1.6690104535881922
2018-07-30,2018,31,194,92,17195818.0,1.1281812822164086,1.522172425877036
2018-08-06,2018,32,236,92,17195818.0,1.3724267144488271,1.2837423610787229
2018-08-13,2018,33,168,92,17195818.0,0.9769817289296735,1.1180043892067246
2018-08-20,2018,34,171,92,17195818.0,0.9944278312319891,1.0656660822997779
2018-08-27,2018,35,158,92,17195818.0,0.9188280545886216,0.8752127988328324
2018-09-03,2018,36,105,92,17195818.0,0.6106135805810459,0.8156052826332542
