municipio,ibge_code,rainfall_municipality_slope_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
natividade,3303104,46,0.280525302535628,0.0908000327213242,0.102557238401832,0.458493366669424,1.32382503836883,1.10800072028526,1.58168916330763
nilopolis,3303203,47,0.224162135565122,0.155316230072738,-0.080257675377444,0.528581946507689,1.25127387898004,0.922878512676917,1.69652483908883
niteroi,3303302,48,0.143073963851,0.10371969007034,-0.060216628686866,0.346364556388865,1.15381513912106,0.941560542465963,1.41391797470429
nova friburgo,3303401,49,0.0450816090059407,0.0721944491101957,-0.096419511250043,0.186582729261924,1.04611322868593,0.908082985122678,1.20512431700707
nova iguacu,3303500,50,-0.0155392162145206,0.0881943592148154,-0.188400160275559,0.157321727846518,0.984580894459054,0.828283194876564,1.17037209462913
paracambi,3303609,51,0.0977344316019389,0.115721131115547,-0.129078985384532,0.32454784858841,1.1026699119392,0.878904542190672,1.3834049960254
paraiba do sul,3303708,52,0.513138747156423,0.114216820054282,0.289273779850029,0.737003714462816,1.67052633454046,1.33545729978246,2.08966489220418
paraty,3303807,53,0.261061732058045,0.0766536784184829,0.110820522357818,0.411302941758271,1.29830781017301,1.117194377447,1.50878236051291
paty do alferes,3303856,54,0.511410103113509,0.0999487076806591,0.315510636059417,0.707309570167601,1.66764108364809,1.37095919344933,2.02852630272234
petropolis,3303906,55,0.110641418614307,0.0790886165578816,-0.044372269839141,0.265655107067755,1.11699430166947,0.956597778678658,1.30428514237767
pinheiral,3303955,56,0.450650213442599,0.095134387955814,0.264186813049204,0.637113613835995,1.5693322547508,1.30237147356268,1.89101479554383
pirai,3304003,57,0.0347335360362948,0.0840253563702499,-0.129956162449395,0.199423234521985,1.03534379022994,0.878133925317194,1.22069849833041
porciuncula,3304102,58,0.20934317189719,0.0883487939551995,0.0361795357449986,0.382506808049381,1.23286801159753,1.03684197997894,1.46595485461663
porto real,3304110,59,0.136772351130612,0.091244084764106,-0.0420660550070357,0.31561075726826,1.14656710410337,0.958806444514238,1.37109646241271
quatis,3304128,60,0.315214719889053,0.0920764674192768,0.13474484374727,0.495684596030835,1.37055356447413,1.14424478588851,1.64162170215541
queimados,3304144,61,0.686983785841828,0.135208806359596,0.42197452537702,0.951993046306636,1.98771112007447,1.5249696761609,2.59086823733723
