municipio,ibge_code,year,week,date,cases,rainfall_lag,temperature_lag,fitted_mu,nb_size,nb_variance,pearson_residual,residual_direction
laje do muriae,3302304,2018,30,2018-07-23,0,5.00888899,23.8775508571,0.0832397817956614,0.978497577725951,0.0903209043565288,-0.276972591413791,overpredicted
laje do muriae,3302304,2018,31,2018-07-30,0,5.85777791,20.6836737143,0.061906556289619,0.978497577725951,0.0658231952255542,-0.241294357208257,overpredicted
laje do muriae,3302304,2018,32,2018-08-06,0,6.13500014,23.632653,0.0671834911328026,0.978497577725951,0.0717962991596565,-0.250733024006314,overpredicted
laje do muriae,3302304,2018,33,2018-08-13,0,3.97833338,21.612245,0.0690532889613745,0.978497577725951,0.0739264300144825,-0.253971217829195,overpredicted
laje do muriae,3302304,2018,34,2018-08-20,0,3.82555568,18.8673468571,0.0592590620009956,0.978497577725951,0.0628478664182727,-0.236379333353415,overpredicted
laje do muriae,3302304,2018,35,2018-08-27,0,4.09222228,23.6632654286,0.0664504607077235,0.978497577725951,0.0709631583666496,-0.249448862611865,overpredicted
laje do muriae,3302304,2018,36,2018-09-03,0,4.91166648,23.6020407142857,0.0738889415350491,0.978497577725951,0.0794684910459002,-0.262109017170805,overpredicted
laje do muriae,3302304,2018,37,2018-09-10,0,4.51833314,23.1326531428571,0.0807786854366817,0.978497577725951,0.08744727222669,-0.273164115930518,overpredicted
laje do muriae,3302304,2018,38,2018-09-17,0,5.4488887,22.9285711428571,0.073873954728591,0.978497577725951,0.0794512410821504,-0.262084300341373,overpredicted
laje do muriae,3302304,2018,39,2018-09-24,0,5.7127777,20.8979592857143,0.07423244891223,0.978497577725951,0.0798639973155621,-0.262674712938428,overpredicted
laje do muriae,3302304,2018,40,2018-10-01,0,6.0794446,22.2142857142857,0.0842512733022844,0.978497577725951,0.0915055345438429,-0.278517694777521,overpredicted
laje do muriae,3302304,2018,41,2018-10-08,0,6.1566668,21.4795918571429,0.0768666163250745,0.978497577725951,0.0829049314315846,-0.266960853166329,overpredicted
laje do muriae,3302304,2018,42,2018-10-15,0,9.2672223,22.2551021428571,0.0894747427832601,0.978497577725951,0.0976563977800318,-0.286318960267922,overpredicted
laje do muriae,3302304,2018,43,2018-10-22,0,10.4972223,21.1836735714286,0.0850097495672339,0.978497577725951,0.0923952124298796,-0.279668789486718,overpredicted
laje do muriae,3302304,2018,44,2018-10-29,0,14.2038889,22.897959,0.0882994571662837,0.978497577725951,0.0962675853592837,-0.28458892445544,overpredicted
laje do muriae,3302304,2018,45,2018-11-05,0,18.8727777,24.9693878571,0.10769643623525,0.978497577725951,0.119549835407406,-0.311477615346803,overpredicted
laje do muriae,3302304,2018,46,2018-11-12,0,20.5838892,24.7749101429,0.0850688863517006,0.978497577725951,0.0924646281397762,-0.279758270032703,overpredicted
laje do muriae,3302304,2018,47,2018-11-19,0,20.4594444,26.2448975714,0.110666920655382,0.978497577725951,0.123183218708778,-0.315313127234898,overpredicted
laje do muriae,3302304,2018,48,2018-11-26,0,22.0266664,24.336735,0.118060820946396,0.978497577725951,0.132305472910614,-0.324576366406495,overpredicted
laje do muriae,3302304,2018,49,2018-12-03,0,31.99,24.0612245714,0.12722743545048,0.978497577725951,0.143769960132988,-0.335541851760696,overpredicted
laje do muriae,3302304,2018,50,2018-12-10,0,33.5688896,24.8571425714,0.132518991721031,0.978497577725951,0.150466182972716,-0.341632100270794,overpredicted
laje do muriae,3302304,2018,51,2018-12-17,0,43.985557,23.234694,0.109198468311687,0.978497577725951,0.121384809650754,-0.313425535039216,overpredicted
laje do muriae,3302304,2018,52,2018-12-24,0,51.3955582,24.4795918571,0.142933010471865,0.978497577725951,0.163811800514483,-0.353150600488998,overpredicted
laje do muriae,3302304,2019,1,2018-12-31,0,52.6761152,23.7653061429,0.243288526870971,0.978497577725951,0.303778515455924,-0.441410948574851,overpredicted
laje do muriae,3302304,2019,2,2019-01-07,0,53.059448,24.2653061429,0.285514413261703,0.978497577725951,0.36882425687892,-0.470130361250328,overpredicted
laje do muriae,3302304,2019,3,2019-01-14,0,52.737223,25.0408161429,0.314784630065868,0.978497577725951,0.416051475872467,-0.488022657490406,overpredicted
laje do muriae,3302304,2019,4,2019-01-21,0,61.460557,28.1734692857,0.432308868499529,0.978497577725951,0.623306743238965,-0.547574521337048,overpredicted
laje do muriae,3302304,2019,5,2019-01-28,0,64.166112,29.6326534286,0.40504873250848,0.978497577725951,0.572718514673925,-0.535225339062438,overpredicted
laje do muriae,3302304,2019,6,2019-02-04,0,65.835,25.9455784286,0.375082209748816,0.978497577725951,0.518860454348065,-0.520716308996396,overpredicted
laje do muriae,3302304,2019,7,2019-02-11,0,61.948332,24.8351647143,0.293629688431068,0.978497577725951,0.381742726103067,-0.475241741875414,overpredicted
