municipio,ibge_code,n_observations,observed_cases,fitted_cases,pearson_residual,mean_pearson_residual,mean_deviance_residual,median_deviance_residual
pinheiral,3303955,332,692,604.254171924037,1.1562617731966,-0.070878213626086,-0.46031044367918,-0.710209511614204
pirai,3304003,332,1339,1940.15148625309,-2.9356008582408,0.0567592963510792,-0.211594286151927,-0.281085358845654
porciuncula,3304102,341,1599,2052.22800577935,-1.39782684153384,0.0373865478102015,-0.361210499821457,-0.674130423662499
porto real,3304110,344,244,232.232690289362,0.442905367607708,-0.038460092642439,-0.373397806421057,-0.629612086394702
quatis,3304128,344,293,284.730043148037,0.25139070611359,-0.0422630264602232,-0.40398339767244,-0.625303947875234
queimados,3304144,332,235,212.906556811983,0.983997752414048,-0.00918875281066925,-0.392820949493739,-0.732876404368424
quissama,3304151,341,879,897.561901262528,-0.129544055189348,-0.0518530028920316,-0.419913603328099,-0.682404614501297
resende,3304201,344,10349,16036.848317791,-2.93340093760756,0.0362435724523349,-0.186391624045903,-0.213311884414341
rio bonito,3304300,344,275,273.370477633487,0.0510855145346959,-0.0242038771394372,-0.308781867276958,-0.581728791333028
rio claro,3304409,332,32,36.2017581312733,-0.63883899684988,-0.0388435882021254,-0.251433465446609,-0.355838353153137
rio das flores,3304508,344,66,64.4233725240947,0.165006004633668,-0.0427561802763686,-0.313678072811792,-0.455051768418277
rio das ostras,3304524,344,5330,7025.21781407715,-1.98879838698431,0.0286469929925788,-0.202161259972299,-0.21350411367026
rio de janeiro,3304557,344,88756,124184.635224838,-2.44230301024546,0.00617020516348498,-0.0738692340079672,-0.118038266889274
santa maria madalena,3304607,341,6,10.7380790377056,-1.41209868302608,-0.0903573586649036,-0.19789685460112,-0.219418254368717
santo antonio de padua,3304706,341,1044,1330.19781837257,-1.82640353421486,-0.014105110112019,-0.459830561026579,-0.773329766523876
sao francisco de itabapoana,3304755,341,1400,1065.92240422852,2.45341618293283,-0.0714939066249132,-0.562258320511379,-0.805718338254721
sao fidelis,3304805,341,157,155.028021508674,0.108103743545156,-0.0357049924895611,-0.405899255272157,-0.644722822435317
sao goncalo,3304904,344,7201,7590.45782535407,-0.52429301213103,0.00698358213085796,-0.214862277778566,-0.184858192002675
sao joao da barra,3305000,341,111,116.037504050406,-0.338106035261703,-0.0497756778682124,-0.402284242988359,-0.593195953042387
sao joao de meriti,3305109,344,2259,2315.95609421129,-0.232344120616074,0.0122470675086291,-0.275404005385503,-0.313604060926858
sao jose de uba,3305133,341,271,249.701453448303,0.728177062111913,-0.0736230247506209,-0.378572838486288,-0.613855159434685
sao jose do vale do rio preto,3305158,344,21,22.9328037531957,-0.384168899557303,-0.029752198390874,-0.233557018190647,-0.306883799116552
sao pedro da aldeia,3305208,316,1309,1421.45039453547,-0.718876178278538,-0.0202589001277416,-0.383284975856032,-0.73914550914562
sao sebastiao do alto,3305307,341,35,34.0574720325999,0.149589480693581,-0.0703205026040368,-0.290072448633263,-0.372769494076112
sapucaia,3305406,344,391,405.313901590589,-0.266281207846735,-0.0430745307402928,-0.418323540123066,-0.676266950323229
saquarema,3305505,315,2201,3260.91461161049,-3.84004952135754,0.0323007300372668,-0.271425817034482,-0.323134131515798
seropedica,3305554,331,536,681.528891179692,-2.05217766753858,-0.00154733278107694,-0.43102768118969,-0.731263217178342
silva jardim,3305604,315,24,26.0538980579456,-0.376116063421806,-0.0647438245098287,-0.250380648136084,-0.324888024045758
sumidouro,3305703,343,149,111.035998745728,2.14087162277801,-0.121806934086389,-0.4222387794415,-0.524086405652474
tangua,3305752,344,263,262.32937987579,0.0209186354631593,-0.027805270749245,-0.385255604755853,-0.678612796588312
teresopolis,3305802,344,128,135.979766315777,-0.491938170026723,-0.019868277327918,-0.298137783218259,-0.52136323863095
trajano de moraes,3305901,344,17,19.8451351388497,-0.610043462654675,-0.0714330338809684,-0.237115284738793,-0.283249023927771
tres rios,3306008,344,1840,1647.7938933881,0.922760431775511,-0.01900747346834,-0.42098519445512,-0.787724758403423
valenca,3306107,47,57,59.9701709000011,-0.221198428019246,0.0570943099304434,-0.251263905568593,-0.321760713904199
varre-sai,3306156,341,712,641.61105308587,0.472479032894235,-0.118862103013363,-0.520981742461469,-0.679164089031464
vassouras,3306206,343,1350,1645.84997622248,-1.71542985560259,-0.00440936201799872,-0.372125383353511,-0.646438869814239
volta redonda,3306305,340,6146,7291.07004099112,-1.00963083349705,0.00732875518054512,-0.308858498620541,-0.38931830322742
