date,year,week,rainfall_time_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
2018-08-20,2018,34,71,0.78712783341477,0.136631733077933,0.519329636582022,1.05492603024752,2.19707698425577,1.68090045775084,2.87176272246693
2018-08-27,2018,35,72,0.773921618618706,0.136467922942781,0.506444489650855,1.04139874758656,2.1682526626913,1.65938074842129,2.83317714378731
2018-09-03,2018,36,73,0.969799523360429,0.144780728018902,0.686029296443381,1.25356975027748,2.63741566612068,1.98581477604729,3.50282487561325
2018-09-10,2018,37,74,0.879272641202904,0.137753690089561,0.609275408627365,1.14926987377844,2.40914675489647,1.83909832109477,3.15588787182036
2018-09-17,2018,38,75,0.80515369073043,0.138003590558792,0.534666653235197,1.07564072822566,2.23704028475632,1.70687916476193,2.93187083124343
2018-09-24,2018,39,76,0.696702742306033,0.13431877837215,0.433437936696619,0.959967547915447,2.00712378050799,1.54255161275801,2.61161171980356
2018-10-01,2018,40,77,0.551304280524098,0.136193149342641,0.284365707812522,0.818242853235674,1.73551514092277,1.32891883789859,2.26651373919499
2018-10-08,2018,41,78,0.587376309170199,0.143791185059241,0.305545586454087,0.86920703188631,1.79926151121446,1.35736536117747,2.38501885957179
2018-10-15,2018,42,79,0.672070153018812,0.163635227025526,0.351345108048781,0.992795197988842,1.95828708129057,1.420977632121,2.6987675288213
2018-10-22,2018,43,80,0.691277818617,0.173262699299364,0.351682927990247,1.03087270924375,1.9962647684517,1.42145774779327,2.80351141773162
2018-10-29,2018,44,81,0.66866495656846,0.185386893944846,0.305306644436561,1.03202326870036,1.95163006972121,1.35704106830469,2.80673888064294
2018-11-05,2018,45,82,0.564414804411727,0.196260159133149,0.179744892510755,0.949084716312699,1.75841846284767,1.19691198296026,2.58334408419588
2018-11-12,2018,46,83,0.483885381443449,0.200793544328039,0.0903300345604918,0.877440728326405,1.62236568178237,1.09453545863086,2.40473744790103
2018-11-19,2018,47,84,0.372440641614125,0.198158874552924,-0.0159507525096069,0.760832035737856,1.45127233140333,0.984175787049454,2.14005608308164
2018-11-26,2018,48,85,0.30501488152121,0.190835329393583,-0.0690223640902133,0.679052127132633,1.3566451918002,0.933305807309531,1.97200763353249
2018-12-03,2018,49,86,0.299964256754817,0.178443203568645,-0.0497844222397265,0.649712935749361,1.34981056010395,0.951434510514752,1.91499102463961
2018-12-10,2018,50,87,0.284290483980279,0.160282290417728,-0.0298628052384685,0.598443773199026,1.32881887529069,0.970578682725539,1.81928537557644
2018-12-17,2018,51,88,0.218762020746502,0.13426966162099,-0.0444065160306376,0.481930557523641,1.24453506791674,0.956565019408887,1.61919734032472
2018-12-24,2018,52,89,0.163605251908968,0.117755639549496,-0.0671958016080447,0.394406305425981,1.17774930902718,0.935012106538232,1.4835031816321
2018-12-31,2019,1,90,0.133321946311537,0.111206139482481,-0.0846420870741254,0.3512859796972,1.14261780070784,0.918841090659114,1.42089361453992
2019-01-07,2019,2,91,0.0584739445503816,0.111214324745943,-0.159506131951666,0.27645402105243,1.06021736089468,0.85256473949462,1.31844633054939
2019-01-14,2019,3,92,0.0283825824699062,0.108211812313028,-0.183712569663629,0.240477734603442,1.02878920585481,0.832174961783584,1.27185661512203
2019-01-21,2019,4,93,-0.0253269570674224,0.0970356403931368,-0.21551681223797,0.164862898103126,0.974991079684752,0.806124717383608,1.17923143276163
2019-01-28,2019,5,94,0.112066822861198,0.0917856825884709,-0.0678331150122055,0.291966760734601,1.11858760537198,0.934416400635524,1.33905850757844
2019-02-04,2019,6,95,0.203078807453332,0.0834332159217331,0.0395497042467357,0.366607910659929,1.2251690168932,1.04034220702564,1.44283208911282
2019-02-11,2019,7,96,0.157480367323845,0.0881901621642188,-0.0153723505180237,0.330333085165714,1.17055777657435,0.984745200943942,1.39143151648291
2019-02-18,2019,8,97,0.163343655931755,0.086944061959239,-0.00706670550835373,0.333754017371863,1.1774412548404,0.992958204942206,1.39619966046891
2019-02-25,2019,9,98,0.114056778991631,0.0846886538767501,-0.0519329826067991,0.280046540590061,1.12081576186628,0.949392490520759,1.32319139301262
2019-03-04,2019,10,99,0.210056329330047,0.0863343352983325,0.0408410321453151,0.379271626514779,1.23374755417262,1.04168649771487,1.46121988790868
2019-03-11,2019,11,100,0.24460096860118,0.110493421971167,0.0280338615376926,0.461168075664668,1.27711160388689,1.02843050807024,1.58592538434415
2019-03-18,2019,12,101,0.359655081676162,0.10843297507139,0.147126450536236,0.572183712816087,1.43283511823199,1.15850044677091,1.7721326580074
2019-03-25,2019,13,102,0.450207002844102,0.102422195747897,0.249459499178224,0.650954506509981,1.56863686417655,1.28333158741938,1.91737009809106
2019-04-01,2019,14,103,0.543543996812208,0.114882943810948,0.31837342694275,0.768714566681667,1.72209917422482,1.3748895861917,2.15699180185099
2019-04-08,2019,15,104,0.431061442891641,0.104475503398764,0.226289456230064,0.635833429553218,1.53889010090981,1.25393857308479,1.88859549702845
2019-04-15,2019,16,105,0.460446827488238,0.107145608019319,0.250441435770372,0.670452219206103,1.58478195095193,1.2845923565613,1.95512126413867
2019-04-22,2019,17,106,0.435068587796765,0.112933105148377,0.213719701705947,0.656417473887584,1.54506902819769,1.23827551962931,1.92787329156795
2019-04-29,2019,18,107,0.338077865780304,0.110258667833075,0.121970876827477,0.554184854733131,1.40224968642047,1.1297212002358,1.74052162839458
2019-05-06,2019,19,108,0.298332247624241,0.11834622371338,0.0663736491460174,0.530290846102465,1.34760945354686,1.06862593374544,1.69942650832341
2019-05-13,2019,20,109,0.208156012955672,0.149935813891777,-0.0857181822722098,0.502030208183555,1.23140526973918,0.917852861983082,1.65207191822144
2019-05-20,2019,21,110,0.278977172097018,0.158427801064323,-0.0315413179890544,0.589495662183091,1.32177717012414,0.968950920523115,1.80307882520835
2019-05-27,2019,22,111,0.431203238518443,0.157200578402178,0.123090104850175,0.739316372186711,1.53910832426744,1.1309863237097,2.09450316433478
2019-06-03,2019,23,112,0.625800410473596,0.158323175137914,0.315486987203285,0.936113833743906,1.86974191967586,1.37092677221597,2.5500522106971
2019-06-10,2019,24,113,0.726218893955501,0.146992936695245,0.438112738032821,1.01432504987818,2.06724932263539,1.54977961667642,2.75750159309827
2019-06-17,2019,25,114,0.710477758301025,0.142194882733729,0.431775788142917,0.989179728459133,2.03496324702405,1.53998979247859,2.68902783444666
2019-06-24,2019,26,115,0.724920834539363,0.14638137987449,0.438013329985361,1.01182833909336,2.06456765104771,1.54962556376791,2.75062549651576
2019-07-01,2019,27,116,0.748033214264092,0.140978039193336,0.471716257445153,1.02435017108303,2.11284042303261,1.60274255293547,2.7852849136778
2019-07-08,2019,28,117,0.912389448380339,0.136097967538896,0.645637432004102,1.17914146475658,2.49026579156503,1.90720235370598,3.25158140696961
2019-07-15,2019,29,118,1.03184377599235,0.135588401279292,0.766090509484937,1.29759704249976,2.80623513669112,2.15133915167228,3.66049008882606
2019-07-22,2019,30,119,1.15664978582328,0.132420286775623,0.897106023743061,1.4161935479035,3.17926419825878,2.4524953679325,4.12140262301537
2019-07-29,2019,31,120,1.17811410481674,0.130888073998467,0.921573479779746,1.43465472985374,3.24824257787427,2.51324181555527,4.19819524703562
2019-08-05,2019,32,121,1.09586854038642,0.131456441158042,0.838213915716658,1.35352316505618,2.99178003706628,2.31223344264845,3.87103984619133
2019-08-12,2019,33,122,0.999553924493564,0.129854800982111,0.745038514568627,1.2540693344185,2.71706953992199,2.10652256522627,3.50457526856776
2019-08-19,2019,34,123,0.965103676685928,0.134577831645944,0.701331126659877,1.22887622671198,2.62505979986728,2.01643505226005,3.41738700939353
2019-08-26,2019,35,124,0.943027850793252,0.136225578568112,0.676025716799753,1.21002998478675,2.56774440675195,1.9660485511165,3.35358520757876
