date,year,week,rainfall_time_idx,rainfall_effect_mean,rainfall_effect_sd,rainfall_effect_q025,rainfall_effect_q975,rainfall_relative_risk,rainfall_relative_risk_q025,rainfall_relative_risk_q975
2019-03-11,2019,11,94,0.130942235651943,0.0988155735117878,-0.062736288431161,0.324620759735047,1.13990193371814,0.939191116597346,1.38350586534713
2019-03-18,2019,12,95,0.160218548543246,0.0913315571055556,-0.0187913033836435,0.339228400470135,1.17376736811066,0.981384152424511,1.40386395178458
2019-03-25,2019,13,96,0.382279040327056,0.0949627087989193,0.196152131081175,0.568405949572938,1.46562099544098,1.21671199096598,1.76545058997242
2019-04-01,2019,14,97,0.387818944499226,0.0949674742554832,0.201682694958479,0.573955194039973,1.47376292724609,1.22345973657185,1.77527473998521
2019-04-08,2019,15,98,0.248795839287285,0.0934264707367687,0.0656799566432182,0.431911721931351,1.28248017427366,1.06788489300382,1.54019914335384
2019-04-15,2019,16,99,0.264206670899309,0.0969202083324523,0.0742430625677029,0.454170279230916,1.30239733611697,1.07706856873442,1.57486614164007
2019-04-22,2019,17,100,0.200556914098388,0.119095208809982,-0.032869695169177,0.433983523365953,1.22208316402222,0.967664642751798,1.54339343797812
2019-04-29,2019,18,101,0.112256995338309,0.117944891243157,-0.118914991498278,0.343428982174897,1.11880035017622,0.887883275180848,1.40977339988692
2019-05-06,2019,19,102,0.164833625156935,0.111777846999022,-0.0542509549611492,0.383918205275018,1.1791969136886,0.9471943735457,1.46802536004044
2019-05-13,2019,20,103,0.0993308146909894,0.126041719176337,-0.147710954894632,0.346372584276611,1.10443160133087,0.862680432464806,1.41392932552464
2019-05-20,2019,21,104,-0.0119117623417728,0.116389257421179,-0.240034706887283,0.216211182203737,0.988158901842653,0.786600560135814,1.24136450541338
2019-05-27,2019,22,105,-0.0970511265102976,0.11574992485198,-0.323920979220179,0.129818726199584,0.907509607147899,0.72330739643615,1.13862196228548
2019-06-03,2019,23,106,-0.232188394628477,0.126479789055803,-0.480088781177851,0.0157119919208981,0.792796750587332,0.618728457926365,1.0158360742745
2019-06-10,2019,24,107,-0.226932250579345,0.115722872482349,-0.453749080644748,-0.000115420513942088,0.796974775040416,0.635242107790129,0.999884586146749
2019-06-17,2019,25,108,-0.155857184410222,0.129038186375182,-0.408772029705578,0.0970576608851343,0.855681386286915,0.664465693497017,1.1019239096972
2019-06-24,2019,26,109,0.0866022471277849,0.165893172269889,-0.238548370521197,0.411752864776767,1.09046285871312,0.787770582461893,1.50946134916167
2019-07-01,2019,27,110,0.398497726078526,0.17633635592498,0.052878468465566,0.744116983691487,1.48958525085502,1.05430150645323,2.10458223381399
2019-07-08,2019,28,111,0.64861542037389,0.180702984721419,0.294437570319909,1.00279327042787,1.912890445466,1.34237115695188,2.72588533909202
2019-07-15,2019,29,112,0.907453523167701,0.184965046849198,0.544922031343273,1.26998501499213,2.47800431162649,1.72447392221939,3.56079920335164
2019-07-22,2019,30,113,1.09180425853744,0.180159270648276,0.738692088066821,1.44491642900806,2.97964527601393,2.09319600733136,4.24149766184158
2019-07-29,2019,31,114,1.14530350032118,0.175915081557915,0.800509940467661,1.49009706017469,3.14339523354386,2.22667611128757,4.43752620517075
2019-08-05,2019,32,115,1.08451020554595,0.178128611813495,0.735378126391499,1.4336422847004,2.95799065645397,2.08627071739484,4.19394695554894
2019-08-12,2019,33,116,1.01500857646349,0.172636856523646,0.676640337677146,1.35337681524984,2.75938706305721,1.96725729702417,3.87047336171296
2019-08-19,2019,34,117,1.01202451540606,0.165011517170615,0.688601941751651,1.33544708906046,2.75116515701584,1.99093015031444,3.80169526288131
2019-08-26,2019,35,118,0.975159178719404,0.160446169592161,0.660684686318768,1.28963367112004,2.65158925397342,1.93611751385741,3.6314560048472
2019-09-02,2019,36,119,0.873422249737523,0.148329042066794,0.582697327286608,1.16414717218844,2.39509345202796,1.79086246401775,3.20318994853329
2019-09-09,2019,37,120,0.931816350681406,0.149319068600117,0.639150976225177,1.22448172513763,2.53911691845946,1.89487140528746,3.40240224619836
2019-09-16,2019,38,121,0.995088605569016,0.154019642508814,0.693210106251741,1.29696710488629,2.70496400553638,2.00012585534332,3.65818493456328
2019-09-23,2019,39,122,1.01292411764195,0.151822348125365,0.71535231531623,1.31049591996766,2.75364122491351,2.04490700741929,3.70801213357495
2019-09-30,2019,40,123,0.994325581987333,0.153561849377055,0.693344357208305,1.29530680676636,2.70290084143408,2.00039439217791,3.65211629626251
2019-10-07,2019,41,124,0.897165698333734,0.153832621587631,0.595653760021977,1.19867763664549,2.45264172395654,1.8142166196417,3.31572942335878
2019-10-14,2019,42,125,0.782539579304132,0.153341739151997,0.481989770566218,1.08308938804205,2.18701932793739,1.61929322076443,2.95379087582033
2019-10-21,2019,43,126,0.760148341401077,0.150674667357414,0.464825993380546,1.05547068942161,2.13859343891499,1.59173719198032,2.87332728041627
2019-10-28,2019,44,127,0.665837525835415,0.150250275218559,0.37134698640704,0.960328065263791,1.94611976455658,1.44968600746502,2.61255342087527
2019-11-04,2019,45,128,0.677083466094506,0.14867264023773,0.385685091228555,0.968481840960457,1.96812923781334,1.47062148628263,2.63394267856582
2019-11-11,2019,46,129,0.776141361857956,0.151674563147603,0.478859218088654,1.07342350562726,2.1730709726073,1.6142318649139,2.92537742230748
2019-11-18,2019,47,130,0.929330778451672,0.158271813605045,0.619118023785784,1.23954353311756,2.53281359688462,1.85728923433035,3.45403645161202
2019-11-25,2019,48,131,0.920361021122041,0.175609285658973,0.576166821230454,1.26455522101363,2.51019646031383,1.77920533076932,3.54151719332333
2019-12-02,2019,49,132,0.813440315528501,0.179569666140618,0.461483769892889,1.16539686116411,2.25565481756016,1.58642613087161,3.20719544198818
2019-12-09,2019,50,133,0.664205010135045,0.186355219683822,0.298948779554755,1.02946124071534,1.94294528538471,1.34844055397848,2.79955714092156
2019-12-16,2019,51,134,0.370471140301718,0.197048792119516,-0.0157444922525326,0.756686772855969,1.44841686149085,0.984378804336777,2.13120334916646
2019-12-23,2019,52,135,0.107083601628156,0.200703593016226,-0.286295440683647,0.500462643939959,1.11302730148442,0.751040695189857,1.64948421807758
2019-12-30,2020,1,136,0.00427942392650876,0.197944207842538,-0.383691223444866,0.392250071297884,1.00428859373692,0.681341777069111,1.48030784762486
2020-01-06,2020,2,137,-0.0304489762836426,0.18943597506171,-0.401743487404593,0.340845534837308,0.970009924315803,0.669152369688618,1.40613602505659
2020-01-13,2020,3,138,0.272041058391253,0.178412643109933,-0.0776477221042164,0.621729838886723,1.31264089512815,0.925290328466048,1.86214647073992
2020-01-20,2020,4,139,0.430262251998716,0.170068337441184,0.0969283106139954,0.763596193383437,1.53766072527429,1.10178138475873,2.14597971862524
2020-01-27,2020,5,140,0.424339972570118,0.138560248678655,0.152761885159953,0.695918059980282,1.52858118112911,1.16504753080534,2.00554944370974
2020-02-03,2020,6,141,0.341060714417294,0.130691125152928,0.0849061091175543,0.597215319717033,1.40643862937183,1.08861485089091,1.81705184030006
2020-02-10,2020,7,142,0.38356035617365,0.126606111663923,0.135412377312361,0.63170833503494,1.46750012246807,1.14500886268485,1.88082090857714
2020-02-17,2020,8,143,0.305486580801065,0.124945901274347,0.0605926143033437,0.550380547298785,1.35728527131084,1.06246599256159,1.73391272813898
2020-02-24,2020,9,144,0.230634886460783,0.123550277625746,-0.0115236576856804,0.472793430607246,1.25939933174777,0.988542485343874,1.6044699143659
2020-03-02,2020,10,145,0.144364236700439,0.110449745085136,-0.0721172636664268,0.360845737067305,1.15530483631959,0.930421784744146,1.43454214713005
2020-03-09,2020,11,146,0.027108720691346,0.103757212950089,-0.176255416690828,0.23047285807352,1.02747950497333,0.838403813659321,1.25919528983587
2020-03-16,2020,12,147,-0.20202722253087,0.101196595999761,-0.400372550690401,-0.00368189437133892,0.817072684853095,0.670070364352129,0.996324875490554
2020-03-23,2020,13,148,-0.342727731630792,0.135966852801926,-0.609222763122566,-0.076232700139018,0.709831449903948,0.543773345568218,0.926600561390575
2020-03-30,2020,14,149,-0.318608845808792,0.108471501545929,-0.531212988838813,-0.10600470277877,0.727159925337749,0.58789143126422,0.89942041829073
2020-04-06,2020,15,150,-0.160383776776143,0.103293496040908,-0.362839029016322,0.0420714754640358,0.851816818715879,0.695698411743911,1.04296902278158
2020-04-13,2020,16,151,-0.0272707010470584,0.103726093210907,-0.230573843740436,0.176032441646319,0.973097787277369,0.794077795162574,1.19247674393193
2020-04-20,2020,17,152,-0.0914438924441499,0.123668034136241,-0.333833239351182,0.150945454462882,0.912612519173449,0.716173201777485,1.16293322353449
2020-04-27,2020,18,153,-0.112128447866522,0.125573955052713,-0.358253399769838,0.133996504036795,0.893929426797943,0.698895952492569,1.14338882239241
2020-05-04,2020,19,154,-0.137938270831961,0.121668730125489,-0.376408981877921,0.100532440213998,0.87115246560301,0.686321582545595,1.10575951219746
2020-05-11,2020,20,155,-0.0987692374011522,0.13607985991862,-0.365485762841648,0.167947288039343,0.905951743682618,0.693859517830169,1.18287425738313
2020-05-18,2020,21,156,-0.0901277028732627,0.149046039030655,-0.382257939373347,0.202002533626822,0.913814481084793,0.682319033561228,1.22385110888943
2020-05-25,2020,22,157,-0.0628307002790928,0.134369932852739,-0.326195768670462,0.200534368112276,0.93910245001412,0.721663894420663,1.22205561126278
2020-06-01,2020,23,158,-0.0122395489132577,0.138059277559592,-0.282835732930059,0.258356635103544,0.987835049704227,0.753643576514333,1.29480050760519
2020-06-08,2020,24,159,0.100807613312376,0.132337765721312,-0.158574407501396,0.360189634126149,1.10606382933651,0.853359465082983,1.43360124850504
2020-06-15,2020,25,160,0.15713871584802,0.11946920343749,-0.07702092288946,0.391298354585501,1.17015792209177,0.925870481518097,1.47889968409947
2020-06-22,2020,26,161,0.320088210528791,0.176857458935745,-0.0265524089852698,0.666728830042851,1.3772492468622,0.973797006785162,1.94785512254196
2020-06-29,2020,27,162,0.388821464734949,0.198767612522368,-0.0007630558088913,0.77840598527879,1.47524114525124,0.999237235244158,2.17799773655393
2020-07-06,2020,28,163,0.478391985408797,0.205659603618749,0.0752991623160491,0.881484808501545,1.61347781920487,1.07820666144274,2.4144820897161
2020-07-13,2020,29,164,0.60333292735491,0.20635361012668,0.198879851506618,1.0077860032032,1.82820192165371,1.22003537168173,2.73952898736958
2020-07-20,2020,30,165,0.660771142607177,0.200682258540748,0.267433915867311,1.05410836934704,1.93628491062773,1.30660728097405,2.86941555409799
2020-07-27,2020,31,166,0.768892980994744,0.195198699957596,0.386303529077856,1.15148243291163,2.157376674394,1.47153125556062,3.16287819074976
2020-08-03,2020,32,167,0.960705905970844,0.204011407094028,0.56084354806655,1.36056826387514,2.61354073641929,1.75214989974,3.89840799690519
