municipio,ibge_code,temperature_effect_mean,temperature_effect_q025,temperature_effect_q975,temperature_relative_risk,temperature_relative_risk_q025,temperature_relative_risk_q975
santo antonio de padua,3304706,0.0175266883375979,-0.229443580348861,0.264880889644678,1.01768118200729,0.794975819630998,1.30327573289741
sao fidelis,3304805,0.118327254930311,-0.18435713368909,0.421985098738662,1.12561241331162,0.831638744572056,1.52498580030202
sao francisco de itabapoana,3304755,0.160161157097248,-0.0828062083158741,0.403994164144867,1.17370000583717,0.920529520902041,1.49779520601679
sao goncalo,3304904,-0.170250252331788,-0.369577638505646,0.0292440291511185,0.843453713924352,0.691026131839903,1.02967583473879
sao joao da barra,3305000,-0.195180512669099,-0.517597425015067,0.124886211611811,0.82268613938082,0.595950645437056,1.13301952126638
sao joao de meriti,3305109,0.0564022690314267,-0.158217947162972,0.271556179229568,1.05802320811439,0.853663708108769,1.31200457719245
sao jose de uba,3305133,0.298131951075175,0.0317133686387955,0.566263742873299,1.34733955905419,1.0322215958176,1.76167267786976
sao jose do vale do rio preto,3305158,-0.0588063880881552,-0.453206452668928,0.332340960663084,0.942889306087077,0.635586901468122,1.39422814443192
sao pedro da aldeia,3305208,0.272764123840428,0.0280144518654992,0.518762080213551,1.31359036362916,1.02841054676493,1.67994672266609
sao sebastiao do alto,3305307,-0.0963300614721132,-0.464606934840082,0.26897555690647,0.908164216577053,0.628382051745077,1.30862315385739
sapucaia,3305406,0.136373558375986,-0.101622542192815,0.375116834874039,1.14610995260997,0.903370471560662,1.45516141828784
saquarema,3305505,-0.143945596272608,-0.366224249242507,0.0783954584563021,0.865934856861638,0.693347301167943,1.08155028231587
seropedica,3305554,-0.105684096606663,-0.323944248387343,0.112753799090781,0.899708824258049,0.723290565871249,1.1193563124791
silva jardim,3305604,0.279358003414645,-0.135643377730339,0.703390724938142,1.32228064012793,0.873153963119793,2.02059237816296
sumidouro,3305703,0.269260975208164,-0.0441758152577296,0.585404314202621,1.30899671216317,0.956785725155716,1.79571687272231
tangua,3305752,0.300485862909058,0.0148054623594537,0.588336412655812,1.35051481325458,1.01491560612242,1.80098981800683
teresopolis,3305802,0.0450316841862356,-0.245715388559451,0.336100829787565,1.04606100297529,0.782144800608601,1.39948012698106
trajano de moraes,3305901,-0.0253222121772971,-0.433175978390287,0.379701733080524,0.974995705921274,0.648446369215474,1.4618485033526
tres rios,3306008,-0.303367704630331,-0.525682686283266,-0.0813020304585417,0.738327559988441,0.591151655452718,0.921915202919242
valenca,3306107,0.0508116130708407,-0.341348439017301,0.442950381609072,1.05212466807696,0.71081119069892,1.55729506194956
varre-sai,3306156,0.265922723668315,-0.0375055111486562,0.571712543296984,1.30463423744337,0.963189109427828,1.7712978797916
vassouras,3306206,-0.113712606814266,-0.343630340919995,0.116319709732438,0.89251442159033,0.709191038507614,1.12335496224231
volta redonda,3306305,-0.225388794464433,-0.43254893245912,-0.0181964189981246,0.798205820418252,0.648853102379732,0.981968136217182
