climate_lag_weeks,validation_year,train_year_start,train_year_end,train_rows,test_rows,test_cases_sum,test_abs_error_sum,test_sq_error_sum,train_mae,train_rmse,train_wape,train_accuracy_pct,train_r2,test_mae,test_rmse,test_wape,test_accuracy_pct,test_r2,error
12,2021,2017,2020,14110,2901,2369,2518.26108369064,14430.6741164886,2.81639619876718,13.8127206299307,0.551943087606843,44.8056912393157,0.897325737724933,0.868066557632072,2.23033163896042,1.06300594499394,0,0.388386644018268,
12,2022,2017,2021,17011,4724,22980,13251.9578404808,364519.347912175,2.53815065365855,13.4321597861332,0.580578753891269,41.9421246108731,0.883244833564664,2.80524086377663,8.78426336083942,0.576673535268964,42.3326464731036,0.829196564560095,
12,2023,2017,2022,21735,4407,101246,49157.3887579762,12842980.0855684,2.8902856230758,18.0854313396064,0.645317397558785,35.4682602441215,0.749874474303645,11.1543881910543,53.9835423692874,0.485524255358002,51.4475744641999,0.76651485741222,
13,2020,2017,2019,9378,4732,8177,10285.5285348824,420852.199791788,3.47372208201088,15.9974544698936,0.5104284680063,48.95715319937,0.907559913088731,2.17361127110786,9.43066749438459,1.25786089456798,0,-1.39693975587507,
13,2021,2017,2020,14110,2901,2369,2468.44841308869,13868.2612995778,2.83351007380336,13.9928341557761,0.555296978310329,44.4703021689671,0.894630599599668,0.850895695652769,2.1864378831522,1.04197906842072,0,0.412223312189222,
13,2022,2017,2021,17011,4724,22980,13376.9585828936,383931.646950236,2.56232221292052,13.483946821738,0.586107777054526,41.3892222945474,0.882342810380728,2.83170164752193,9.01513036849802,0.582113080195543,41.7886919804457,0.820100511402756,
13,2023,2017,2022,21735,4407,101246,49469.6793057644,12732489.6116305,2.89792699078562,18.3146872079748,0.647023494521976,35.2976505478024,0.743492963168087,11.2252505799329,53.7508256866739,0.488608728302989,51.1391271697012,0.7685235722035,
14,2020,2017,2019,9378,4732,8177,10360.8587104672,420610.960578866,3.42206166687947,15.0188811200622,0.502837490395095,49.7162509604905,0.918523242178359,2.18953058124835,9.42796420220558,1.26707334113577,0,-1.39556579166528,
14,2021,2017,2020,14110,2901,2369,2566.38441715703,14617.2882077065,2.78931077312163,13.4646441738383,0.546635022830122,45.3364977169878,0.902435258808127,0.884655090367813,2.24470637823225,1.08331972020136,0,0.380477403626453,
14,2022,2017,2021,17011,4724,22980,13518.8131729928,402515.811729595,2.51977978236007,12.9616648989224,0.576376585059802,42.3623414940198,0.891280865323689,2.86173013822878,9.23074020425088,0.588286038859563,41.1713961140437,0.811392498488553,
14,2023,2017,2022,21735,4407,101246,49202.1398267284,12616354.622518,2.90231340504755,18.1551402213319,0.648002854282664,35.1997145717336,0.747942579713743,11.164542733544,53.5051293854239,0.48596625868408,51.403374131592,0.770634904177208,
15,2020,2017,2019,9378,4732,8177,10580.1266935052,456528.965529289,3.4772521957583,16.3156801989798,0.510947182661485,48.9052817338515,0.903845647452822,2.23586785577033,9.82226847819553,1.29388855246487,0,-1.60013474499374,
15,2021,2017,2020,14110,2901,2369,2511.03043810766,13850.2319102278,2.81434924961682,13.6502175751978,0.551541936861526,44.8458063138474,0.899727398493857,0.865574091040216,2.18501618509737,1.05995375183945,0,0.412987449417854,
15,2022,2017,2021,17011,4724,22980,13535.0767234917,388589.43580135,2.54776288548044,13.2943871987273,0.582777464028992,41.7222535971009,0.885627647193633,2.86517288812272,9.06965047028397,0.588993765165002,41.1006234834998,0.81791800355542,
15,2023,2017,2022,21735,4407,101246,49462.0113237448,12887391.4917548,2.90990402952181,18.5107003865049,0.649697621745248,35.0302378254752,0.737973042071894,11.223510624857,54.0768001624126,0.488532992155194,51.1467007844806,0.76570745886166,
16,2020,2017,2019,9378,4732,8177,10711.3503519882,483482.119671279,3.41152747980724,15.3103100178716,0.501289597719161,49.8710402280839,0.9153305869548,2.26359897548356,10.1080606886648,1.30993645004136,0,-1.75364490067578,
16,2021,2017,2020,14110,2901,2369,2465.57304310283,13578.3839978337,2.80049087312903,13.51825333846,0.548826042304071,45.1173957695929,0.901656808744325,0.849904530542168,2.16346651994296,1.04076532000964,0,0.424509143600248,
16,2022,2017,2021,17011,4724,22980,13287.144465844,351137.441341504,2.53340238935035,13.1859294822043,0.579492631847553,42.0507368152447,0.88748617061923,2.81268934501356,8.62151574435775,0.578204720010619,42.1795279989381,0.83546694671703,
16,2023,2017,2022,21735,4407,101246,49842.9509236182,13457482.362753,2.89362991034594,17.7349278676168,0.646064080426602,35.3935919573398,0.759475608346818,11.3099502889989,55.2599368653534,0.492295507216267,50.7704492783733,0.755343217274727,
17,2020,2017,2019,9378,4732,8177,10800.4674310483,509561.003847393,3.46521346550327,15.8166591462444,0.5091782125206,49.08217874794,0.909637530615293,2.28243183242779,10.377093366985,1.3208349554908,0,-1.90217570151634,
17,2021,2017,2020,14110,2901,2369,2468.43621580312,13440.4197221417,2.81526209580174,13.625887644017,0.551720831841592,44.8279168158408,0.900084528525765,0.850891491142061,2.15244741953864,1.04197391971427,0,0.430356465283246,
17,2022,2017,2021,17011,4724,22980,13234.2169455259,351803.655829702,2.55640717438277,13.4005419823329,0.584754766074459,41.5245233925541,0.883793843889886,2.80148538220278,8.62969068696001,0.575901520693032,42.4098479306968,0.835154777489318,
17,2023,2017,2022,21735,4407,101246,50135.6597395763,14091346.2440638,2.87352007317039,17.3917993375365,0.641574133935555,35.8425866064445,0.768692718756289,11.3763693532055,56.5463683458341,0.495186572699922,50.4813427300078,0.743819583529052,
18,2020,2017,2019,9378,4732,8177,10760.3922043811,532403.518149543,3.52800648372728,16.4143935618118,0.51840501401389,48.1594985986111,0.902678618822254,2.27396284961563,10.6071348552369,1.31593398610507,0,-2.03227394190111,
18,2021,2017,2020,14110,2901,2369,2422.00963242548,13178.5765837977,2.84247634699298,13.9675091144454,0.55705414319742,44.294585680258,0.895011661734994,0.83488784295949,2.13137755466345,1.02237637502131,0,0.441454128447876,
18,2022,2017,2021,17011,4724,22980,13206.6463793244,339460.364564888,2.57358496849906,13.7776982941207,0.588684029409661,41.1315970590339,0.877160582333305,2.79564910654622,8.47694942679491,0.574701757150757,42.5298242849243,0.84093849394975,
18,2023,2017,2022,21735,4407,101246,50327.5135164862,14449972.7880731,2.89522465019809,18.0199289499001,0.646420139828812,35.3579860171188,0.751683018389024,11.4199032258875,57.2614036075533,0.497081499678864,50.2918500321136,0.73729975953136,
19,2020,2017,2019,9378,4732,8177,10658.3058059054,525458.870123739,3.48455462868602,15.8177926519731,0.512020201620407,48.7979798379593,0.909624578443033,2.25238922356412,10.5377282784499,1.30344940759514,0,-1.99272109424617,
19,2021,2017,2020,14110,2901,2369,2401.99972392032,12726.1816395227,2.84299502951384,13.9051790319367,0.557155791975446,44.2844208024554,0.895946593019891,0.827990252988736,2.09447506498314,1.01392981170127,0,0.460627923647165,
19,2022,2017,2021,17011,4724,22980,13229.1075498314,344288.824352065,2.57555530412857,13.715106387783,0.589134725668716,41.0865274331284,0.87827416287595,2.80040379971028,8.53702431505344,0.57567917971416,42.432082028584,0.83867601453883,
19,2023,2017,2022,21735,4407,101246,50522.7996698372,14867946.9093862,2.87668528717203,17.5120740140754,0.642280834908615,35.7719165091386,0.765482400461053,11.4642159450504,58.0836601345692,0.49901032801135,50.098967198865,0.729700997665922,
20,2020,2017,2019,9378,4732,8177,10700.8881234028,551332.053962411,3.53246107302326,16.3694727750468,0.51905957103839,48.094042896161,0.903210563054168,2.26138802269712,10.7940457229428,1.30865697974841,0,-2.14008034051994,
20,2021,2017,2020,14110,2901,2369,2386.17527068375,12792.7544667642,2.84635069638256,13.8648143366048,0.557813418602454,44.2186581397547,0.896549819766894,0.822535425950965,2.09994619740046,1.007250008731,0,0.457806376298946,
20,2022,2017,2021,17011,4724,22980,13126.6787212909,337836.588412123,2.58768867646583,13.8599123202681,0.591910123646735,40.8089876353265,0.875690198161738,2.77872115183973,8.45665078556025,0.571221876470446,42.8778123529554,0.841699349434832,
20,2023,2017,2022,21735,4407,101246,50779.2101886904,15753349.3802532,2.86569945116782,17.197170619743,0.639828014660115,36.0171985339886,0.773840793251004,11.5223984998163,59.7881240901752,0.501542877631614,49.8457122368386,0.713604396971956,
